2018-Jun-07 00:31:24.964482 TRACE   [protocol] [96.44.175.218:43693 INC] Starting synchronization
2018-Jun-07 00:31:24.964527 TRACE   [protocol] [96.44.175.218:43693 INC] -->>NOTIFY_REQUEST_CHAIN: m_block_ids.size()=1
2018-Jun-07 00:31:24.964574 DEBUG   [node_server] [96.44.175.218:43693 INC] msg 1:1001
2018-Jun-07 00:31:24.964628 DEBUG   [node_server] [96.44.175.218:43693 INC] msg 2:2006
2018-Jun-07 00:31:25.194096 DEBUG   [node_server] [96.44.175.218:43693 INC] Interrupt connection
2018-Jun-07 00:31:25.194368 DEBUG   [node_server] [96.44.175.218:43693 INC] writeHandler finished
2018-Jun-07 00:31:25.194497 TRACE   [node_server] [96.44.175.218:43693 INC] CLOSE CONNECTION
2018-Jun-07 00:31:25.194612 TRACE   [protocol] Observed height updated: 1
2018-Jun-07 00:31:27.426477 TRACE   [node_server] [96.44.175.218:43807 INC] NEW CONNECTION
2018-Jun-07 00:31:27.426608 DEBUG   [node_server] [96.44.175.218:43807 INC] writeHandler started
2018-Jun-07 00:31:27.427211 INFO    [protocol] [96.44.175.218:43807 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:27.427211 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:27.427335 DEBUG   [protocol] Remote top block height: 23, id: 1f3211a188d35c36409569ae4648e4937935cb73c4d53f36c0f86b8fc777d216
2018-Jun-07 00:31:27.427379 TRACE   [protocol] [96.44.175.218:43807 INC] requesting synchronization
2018-Jun-07 00:31:27.427417 TRACE   [protocol] Observed height updated: 23
2018-Jun-07 00:31:27.496870 DEBUG   [node_server] [96.44.175.218:43807 INC] Back ping connection to 96.44.175.218:15715 failed: TcpConnector::connect, connection failed
2018-Jun-07 00:31:27.496986 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:27.497036 TRACE   [protocol] [96.44.175.218:43807 INC] Starting synchronization
2018-Jun-07 00:31:27.497076 TRACE   [protocol] [96.44.175.218:43807 INC] -->>NOTIFY_REQUEST_CHAIN: m_block_ids.size()=1
2018-Jun-07 00:31:27.497123 DEBUG   [node_server] [96.44.175.218:43807 INC] msg 1:1001
2018-Jun-07 00:31:27.497181 DEBUG   [node_server] [96.44.175.218:43807 INC] msg 2:2006
2018-Jun-07 00:31:27.726004 DEBUG   [node_server] [96.44.175.218:43807 INC] Interrupt connection
2018-Jun-07 00:31:27.726271 DEBUG   [node_server] [96.44.175.218:43807 INC] writeHandler finished
2018-Jun-07 00:31:27.726326 TRACE   [node_server] [96.44.175.218:43807 INC] CLOSE CONNECTION
2018-Jun-07 00:31:27.726380 TRACE   [protocol] Observed height updated: 1
2018-Jun-07 00:31:28.957863 DEBUG   [node_server] Connection to 192.48.88.88:15715 timed out, interrupt it
2018-Jun-07 00:31:28.958085 DEBUG   [node_server] Connection timed out
2018-Jun-07 00:31:28.958170 DEBUG   [node_server] Connecting to 144.217.150.133:15715 (white=1, last_seen: never)...
2018-Jun-07 00:31:28.959244 TRACE   [node_server] [144.217.150.133:36193 INC] NEW CONNECTION
2018-Jun-07 00:31:28.959361 DEBUG   [node_server] [144.217.150.133:36193 INC] writeHandler started
2018-Jun-07 00:31:28.960483 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:28.960596 DEBUG   [node_server] [144.217.150.133:36193 INC] msg 1:1001
2018-Jun-07 00:31:28.960702 DEBUG   [node_server] [144.217.150.133:36193 INC] msg 2:2008
2018-Jun-07 00:31:28.960825 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: TIME_DELTA: 0, remote peerlist size=0
2018-Jun-07 00:31:28.960918 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: 
2018-Jun-07 00:31:28.961025 DEBUG   [node_server] [144.217.150.133:15715 OUT] CONNECTION HANDSHAKED OK AND CLOSED.
2018-Jun-07 00:31:28.961170 TRACE   [node_server] [144.217.150.133:36193 INC] Exception in connectionHandler: TcpConnection::read
2018-Jun-07 00:31:28.961258 DEBUG   [node_server] [144.217.150.133:36193 INC] Interrupt connection
2018-Jun-07 00:31:28.961347 DEBUG   [node_server] [144.217.150.133:36193 INC] writeHandler finished
2018-Jun-07 00:31:28.961423 TRACE   [node_server] [144.217.150.133:36193 INC] CLOSE CONNECTION
2018-Jun-07 00:31:30.328978 TRACE   [node_server] [96.44.175.218:11051 INC] NEW CONNECTION
2018-Jun-07 00:31:30.329182 INFO    [protocol] [96.44.175.218:11051 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:30.329182 INFO    [protocol] SYNCHRONIZATION started
